group.id,course.co_id,group.lesson
8974164,3480,שעור,NULL
8974172,3481,שעור,NULL
8974173,3482,שעור,NULL
8974188,3483,שעור,NULL
8974214,3484,שעור,NULL
8974320,3485,שעור,NULL
8974366,3486,שעור,NULL
8974374,3487,שעור,NULL
8974405,3488,שעור,NULL
8974417,3489,שעור,NULL
8974424,3490,סמ,NULL
8974426,3491,סמ,NULL
8974550,3492,שעור,NULL
8974498,3493,שעור,NULL
8974485,3494,סמ,NULL
8974460,3495,סמ,NULL
8974479,3496,הדר,ב
8974480,3496,הדר,ג
8974482,3496,הדר,ה
8974483,3496,הדר,ו
8974515,3496,הדר,ז
8974516,3496,הדר,ח
8974481,3496,הדר,ד
8974478,3496,הדר,א
8974552,3497,שעור,NULL
8974800,3498,סיור,NULL
8974620,3499,שעור,NULL
8974647,3500,שעור,NULL
8268854,3502,שעור, 
8268855,3503,שעור, 
8268857,3510,סמ, 
8268858,3512,שעור, 
8268860,3518,שעור, 
8268861,3520,שעור, 
8268863,3522,שעור,א
8268864,3522,שעור,ב
8268866,3527,שעור, 
8268867,3528,שעור, 
8268869,3532,שעור, 
8974459,3547,שעור,NULL
8974212,3551,סמ,NULL
8268879,3555,שעור, 
8268881,3560,שעור, 
8268882,3561,סמ, 
8268883,3562,שעור, 
8268885,3565,הדר,א
8268886,3565,הדר,ב
8268887,3568,שעור, 
8974497,3574,שעור,NULL
8268888,3576,שעור, 
8268889,3586,שות,א
8268890,3586,שות,ב
8268892,3589,שעור, 
8268893,3590,שעור, 
8268894,3592,שעור, 
8268895,3610,סמ, 
8268896,3629,סמ, 
8268897,3630,שעור, 
8268899,3636,שעור, 
8268900,3639,שעור, 
8268902,3641,סמ, 
8268903,3642,שעור, 
8268904,3643,סמ,
8268906,3650,הדר, 
8268907,3651,ע.מע, 
8268908,3652,סמ, 
8268910,3660,שעור, 
8973685,3664,שעור,NULL
8268911,3669,שעור,א
8268912,3669,שעור,ב
8268913,3672,סמ, 
8268914,3684,שעור, 
8268915,3687,שעור, 
8268916,3695,שעור, 
8974499,3699,שעור,NULL
8268918,3706,שעור, 
8268921,3719,שעור, 
8268922,3726,שעור, 
8268923,3734,שעור, 
8268924,3744,שעור, 
8268926,3750,סדנה,א
8268927,3750,סדנה,ב
8268928,3751,ע.מע, 
8268929,3754,שעור, 
8268930,3759,שעור, 
8268931,3769,שעור, 
8268932,3772,שעור, 
8974489,3773,שעור,NULL
8268935,3780,שעור, 
8268936,3796,שעור, 
8268937,3801,שעור, 
8268938,3802,שעור,א
8268939,3802,שעור,ב
8268940,3802,שעור,ג
8973683,3802,שעור,ד
8268941,3804,שעור,א
8268942,3804,שעור,ב
8268943,3804,שעור,ג
8268944,3804,שעור,ד
8268945,3804,שעור,ה
8268946,3804,תרג,א
8268947,3804,תרג,ב
8268948,3804,תרג,ג
8268949,3804,תרג,ד
8268950,3804,תרג,ה
8268951,3809,שעור, 
8268952,3810,סמ, 
8268954,3814,שות,א
8268955,3814,שות,ב
8268956,3818,שעור, 
8268957,3819,שעור, 
8268958,3821,שעור, 
8268959,3833,שעור, 
8268960,3841,שעור, 
8268961,3845,שעור, 
8268962,3846,שעור, 
8268963,3854,שעור, 
8268964,3863,שעור, 
8268965,3884,שעור, 
8268966,3885,שעור, 
8268967,3886,סמ, 
8268969,3892,סמ, 
8268971,3895,שעור,א
8268972,3895,שעור,ב
8268973,3903,שעור, 
8268975,3909,שעור, 
8268976,3913,שעור, 
8268977,3913,תרג, 
8268978,3916,סמ, 
8268979,3917,שעור, 
8268981,3921,שעור, 
8268982,3922,סמ, 
8268983,3924,סמ, 
8268985,3928,שעור,
8268986,3933,שעור, 
8268987,3937,שעור, 
8268990,3953,הדר,א
8268991,3953,הדר,ב
8268992,3963,שעור,א
8268993,3963,שעור,ב
8973684,3965,סמ,NULL
8268994,3979,שעור, 
8974213,3982,שעור,NULL
8268995,3988,מטלה,א
8268996,3988,מטלה,ב
8268997,3989,שעור, 
8268998,3999,שעור, 
8269154,5100,הדר,א
8269155,5100,הדר,ב
8269156,5201,שעור, 
8269158,5201,הדר,
8269159,5203,שעור, 
8269160,5203,הדר,א
8974885,5203,הדר,ב
8269162,5204,שעור, 
8269163,5206,שעור, 
8269165,5207,הדר,א
8269166,5207,הדר,ב
8974890,5207,שעור,NULL
8269167,5211,שעור, 
8269168,5215,תרג, 
8269169,5219,תרג, 
8269171,5301,סדנה, 
8973522,5332,שוס,NULL
8973647,5365,שוס,NULL
8269174,5378,תרג, 
8973460,5396,שוס,NULL
8973523,5408,סמ,NULL
8973469,5515,שוס,NULL
8973567,5518,שוס,NULL
8973463,5806,סמ,NULL
8973462,5811,סמ,NULL
8973648,5824,סמ,NULL
8973530,5834,סמ,NULL
8974465,5835,תרג,ב
8974464,5835,תרג,א
8973464,5855,סמ,NULL
8973578,5865,סמ,NULL
8269185,5870,סמ, 
8974066,5871,סמ,NULL
8974231,5874,סדנה,NULL
9008574,5886,סמ,NULL
8269187,5891,סמ,א
8269188,5891,סמ,ב
8269191,6110,שעור, 
8269192,6112,שעור, 
8269193,6112,תרג,א
8269194,6112,תרג,ב
8269195,6115,שות, 
8269196,6116,שעור, 
8269197,6116,תרג,א
8973805,6116,תרג,ב
8269198,6117,שעור, 
8269199,6117,תרג,
8269201,6119,שעור, 
8269202,6119,תרג, 
8269203,6120,סמ, 
8269204,6122,שעור, 
8269205,6122,תרג,א
8269206,6122,תרג,ב
8973806,6122,תרג,ג
8269207,6124,מטלה,א
8269208,6124,מטלה,ב
8269209,6125,שות, 
8269211,6128,שעור, 
8269212,6132,שעור, 
8269213,6132,תרג,
8269215,6136,שעור,א
8269216,6136,שעור,ב
8269217,6136,תרג,א
8269218,6136,תרג,ב
8269219,6137,ע.מע,א
8269220,6137,ע.מע,ב
8269221,6140,שעור, 
8269222,6141,שעור,א
8269223,6141,שעור,ב
8269224,6141,תרג,א
8269225,6141,תרג,ב
8269226,6142,סמ, 
8269227,6145,שעור, 
8269228,6145,תרג,א
8269229,6145,תרג,ב
8269231,6147,ע.מע,א
8269232,6147,ע.מע,ב
8973972,6152,שעור,NULL
8973973,6153,שעור,NULL
8973974,6155,שעור,NULL
8973975,6161,שעור,NULL
8974147,6162,סמ,NULL
8269237,6828,שעור, 
8269238,6828,תרג, 
8269239,6832,סמ, 
8269240,6834,ע.מע,א
8269241,6834,ע.מע,ב
8974404,6837,סמ,NULL
8269244,7100,שעור,א
8977623,7100,שעור,ב
8274256,7101,שוס,NULL
8974160,7103,שעור,NULL
8973107,7112,שעור,NULL
8970767,7118,הדר,NULL
8973203,7119,סמ,NULL
8269249,7130,תרג, 
8274242,7131,תרג,NULL
8269250,7150,מכי, 
8269251,7151,מכי, 
8269252,7152,מכי, 
8974649,7206,שות,NULL
8274247,7226,שות,NULL
8974992,7249,סמ,NULL
8274250,7261,שות,NULL
8274252,7300,שות,NULL
8978493,7471,שות,NULL
8269259,7600,מטלה,א
8269260,7600,מטלה,ב
8274245,7710,סמ,NULL
8973372,7821,סמ,NULL
8269269,7900,תרג, 
8274243,7902,סמ,NULL
8274246,7903,סמ,NULL
8274249,7904,סמ,NULL
8269271,8006,תרג,א
8269273,8006,תרג,ב
8269274,8006,תרג,ג
8269275,8006,תרג,ד
8269276,8006,תרג,ה
8269277,8006,תרג,ו
8269278,8006,תרג,ז
8269279,8006,תרג,ח
8269280,8006,תרג,ט
8269281,8006,תרג,י
8269282,8006,תרג,יא
8269283,8006,תרג,יב
8973543,8006,תרג,יג
8269284,8007,תרג,א
8269285,8007,תרג,ב
8269286,8007,תרג,ג
8269287,8007,תרג,ד
8269288,8007,תרג,ה
8269289,8007,תרג,ו
8269290,8007,תרג,ז
8269291,8007,תרג,ח
8269292,8007,תרג,ט
8269293,8007,תרג,י
8269294,8007,תרג,יא
8269295,8007,תרג,יב
8973259,8007,תרג,יג
8269297,8010,תרג, 
8973156,8200,שוס,NULL
8973593,8202,שעור,
8973618,8203,שוס,NULL
8269299,8205,שוס, 
8973600,8206,שות,NULL
8973620,8212,שוס,NULL
8269301,8214,תרג, 
8973598,8222,תרג,א
8975897,8222,תרג,ב
8973587,8225,שעור,NULL
8973597,8226,שות,NULL
8269305,8227,שוס, 
8973599,8229,שוס,NULL
8973627,8231,שוס,NULL
8973601,8232,שות,NULL
8269306,8237,שוס, 
8973588,8240,שעור,NULL
8269307,8242,תרג, 
8973626,8244,שוס,NULL
8269309,8247,סדנה, 
8973625,8248,שוס,NULL
8269310,8251,שוס, 
8269311,8268,שוס, 
8269313,8276,סיור, 
8269315,8282,שוס, 
8269316,8283,שוס, 
8269317,8284,שוס, 
8269320,8287,שוס, 
8269321,8288,שוס, 
8269324,8402,שעור, 
8269325,8402,תרג, 
8269328,8500,שעור, 
8269329,8501,שעור,א
8269330,8501,שעור,ב
8269331,8502,שעור,א
8269332,8502,שעור,ב
8269333,8503,שעור,א
8269334,8503,שעור,ב
8269335,8504,שעור,א
8269336,8504,שעור,ב
8269337,8517,מטלה,א
8269338,8517,מטלה,ב
8269339,8518,מטלה,א
8269340,8518,מטלה,ב
8269341,8519,מטלה,א
8269342,8519,מטלה,ב
8269343,8520,מטלה,א
8269344,8520,מטלה,ב
8269345,8522,מטלה,א
8269346,8522,מטלה,ב
8269347,8523,מטלה,א
8269348,8523,מטלה,ב
8978062,8524,מטלה,NULL
8269349,8525,מטלה,א
8269350,8525,מטלה,ב
8269351,8526,מטלה,א
8269352,8526,מטלה,ב
8269353,8527,מטלה,א
8269354,8527,מטלה,ב
8269355,8528,מטלה,א
8269356,8528,מטלה,ב
8269357,8529,מטלה,א
8269358,8529,מטלה,ב
8269359,8530,מטלה,א
8269360,8530,מטלה,ב
8269361,8531,מטלה,א
8269362,8531,מטלה,ב
8269363,8532,מטלה,א
8269364,8532,מטלה,ב
8978063,8533,מטלה,NULL
8269365,8534,מטלה,א
8269366,8534,מטלה,ב
8269367,8535,מטלה,א
8269368,8535,מטלה,ב
8269369,8611,מטלה,א
8269370,8611,מטלה,ב
8269371,8612,מטלה,א
8269372,8612,מטלה,ב
8973053,8779,סמ,NULL
8269374,8790,סמ, 
8998705,8801,סמ,NULL
8269376,8810,שעור, 
8269377,8811,שעור, 
8269378,8812,שעור, 
8269379,8813,שעור, 
8269380,8814,שעור,א
8269381,8814,שעור,ב
8269382,8816,שעור,א
8269383,8816,שעור,ב
8269384,8817,שעור,א
8269385,8817,שעור,ב
8269386,8819,סמ,א
8269387,8819,סמ,ב
8269388,8820,סמ,א
8269389,8820,סמ,ב
8269390,8860,סמ, 
8269392,8865,סיור, 
8973090,8866,סמ,NULL
8269393,9100,מכי, 
8269394,9103,מכי,א
8269395,9103,מכי,ב
8269396,9103,מכי,ג
8269397,9126,מטלה,א
8269398,9126,מטלה,ב
9023127,9136,תרג,NULL
8269399,9151,שעור, 
8269400,9152,שעור, 
8269401,9162,מכי, 
8274043,9163,מכי,NULL
8269402,9164,תרג, 
8269403,9165,הדר, 
8269404,9166,הדר, 
8974930,9169,הדר,NULL
8269408,9214,שות, 
8269411,9226,שות, 
8974433,9292,סמ,NULL
8974434,9293,סמ,NULL
8972884,9295,תרג,NULL
8972886,9296,תרג,NULL
8974859,9308,תרג,NULL
8269423,9324,תרג, 
8972888,9325,תרג,NULL
8974370,9528,תרג,NULL
8274248,9868,סמ,NULL
8973247,9900,סמ,NULL
8971723,9903,סמ,NULL
8269430,10101,סדנה, 
8269431,10107,סמ,א
9032145,10107,סמ,ב
8972879,10111,סדנה,א
8973375,10111,סדנה,ב
8269433,10112,ע.מע,א
8269434,10112,ע.מע,ב
8269435,10113,סדנה,א
8269436,10113,סדנה,ב
8269437,10114,סמ, 
8269438,10115,שעור, 
8269439,10120,ע.מע,א
8974210,10120,ע.מע,ב
8972870,10121,סדנה,
8269443,10123,סדנה,א
