127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.015890
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.016364
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.017511
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.018678
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.039936
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.032540
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.031393
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001884
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.008376
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.013519
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000956
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.015317
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002971
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.017114
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.029007
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.028716
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001463
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000978
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000870
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000753
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000928
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000963
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.016430
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.015420
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001188
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.036953
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001508
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001736
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001322
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.019150
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/js/ajax_editor.js, HTTP/1.1, 200, 0.014887
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/js/typeahead.min.js, HTTP/1.1, 200, 0.014391
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.014104
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.019984
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/images/files_toggle.png, HTTP/1.1, 200, 0.001395
127.0.0.1, 2015-04-30 12:27:21, GET, /admin/static/_2.10.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001250
127.0.0.1, 2015-04-30 12:27:22, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.126381
127.0.0.1, 2015-04-30 12:27:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.146599
127.0.0.1, 2015-04-30 12:27:22, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.198182
127.0.0.1, 2015-04-30 12:27:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.254316
127.0.0.1, 2015-04-30 12:27:22, GET, /admin/static/_2.10.4/images/save_icon.png, HTTP/1.1, 200, 0.102059
127.0.0.1, 2015-04-30 12:27:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.719876
127.0.0.1, 2015-04-30 12:27:23, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 1.526653
127.0.0.1, 2015-04-30 12:28:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.131224
127.0.0.1, 2015-04-30 12:28:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.875880
127.0.0.1, 2015-04-30 12:29:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110419
127.0.0.1, 2015-04-30 12:29:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.996507
127.0.0.1, 2015-04-30 12:30:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142352
127.0.0.1, 2015-04-30 12:30:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.993689
127.0.0.1, 2015-04-30 12:31:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110386
127.0.0.1, 2015-04-30 12:31:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.964770
127.0.0.1, 2015-04-30 12:32:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117948
127.0.0.1, 2015-04-30 12:32:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.971134
127.0.0.1, 2015-04-30 12:33:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088731
127.0.0.1, 2015-04-30 12:33:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.178137
127.0.0.1, 2015-04-30 12:34:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096294
127.0.0.1, 2015-04-30 12:34:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.182721
127.0.0.1, 2015-04-30 12:35:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123123
127.0.0.1, 2015-04-30 12:35:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.241390
127.0.0.1, 2015-04-30 12:36:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081720
127.0.0.1, 2015-04-30 12:36:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.175284
127.0.0.1, 2015-04-30 12:36:22, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.075812
127.0.0.1, 2015-04-30 12:37:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.163435
127.0.0.1, 2015-04-30 12:37:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.586096
127.0.0.1, 2015-04-30 12:37:26, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.062055
127.0.0.1, 2015-04-30 12:37:34, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.060664
127.0.0.1, 2015-04-30 12:38:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.158396
127.0.0.1, 2015-04-30 12:38:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.161358
127.0.0.1, 2015-04-30 12:39:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.095185
127.0.0.1, 2015-04-30 12:39:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157939
127.0.0.1, 2015-04-30 12:40:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.241668
127.0.0.1, 2015-04-30 12:40:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.504611
127.0.0.1, 2015-04-30 12:40:22, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.076310
127.0.0.1, 2015-04-30 12:41:22, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.142141
127.0.0.1, 2015-04-30 12:41:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.143252
127.0.0.1, 2015-04-30 12:41:43, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.069970
